date,es_index,count_docs
2021-02-24,wb_items_2,7227541
2021-02-24,wb_items_tmp,7232680
2021-02-24,wb_categories,13815
2021-02-24,wb_brands,56962
2021-02-24,wb_categories_in_brands,315506
2021-02-24,wb_brands_in_categories,549525
2021-02-25,wb_items_2,7233066
2021-02-25,wb_items_tmp,7247499
2021-02-25,wb_categories,13815
2021-02-25,wb_brands,56962
2021-02-25,wb_categories_in_brands,315912
2021-02-25,wb_brands_in_categories,550157
2021-02-26,wb_items_2,7250249
2021-02-26,wb_items_tmp,7250187
2021-02-26,wb_categories,13815
2021-02-26,wb_brands,56962
2021-02-26,wb_categories_in_brands,316291
2021-02-26,wb_brands_in_categories,550157
2021-02-27,wb_items_2,7250249
2021-02-27,wb_items_tmp,7255535
2021-02-27,wb_categories,13815
2021-02-27,wb_brands,56962
2021-02-27,wb_categories_in_brands,316351
2021-02-27,wb_brands_in_categories,550264
2021-02-28,wb_items_2,7251522
2021-02-28,wb_items_tmp,7266048
2021-02-28,wb_categories,13815
2021-02-28,wb_brands,56962
2021-02-28,wb_categories_in_brands,316423
2021-02-28,wb_brands_in_categories,550376
2021-03-01,wb_items_2,7267716
2021-03-01,wb_items_tmp,7297050
2021-03-01,wb_categories,13815
2021-03-01,wb_brands,56962
2021-03-01,wb_categories_in_brands,316493
2021-03-01,wb_brands_in_categories,550435
2021-03-02,wb_items_2,7298179
2021-03-02,wb_items_tmp,7302533
2021-03-02,wb_categories,13815
2021-03-02,wb_brands,56962
2021-03-02,wb_categories_in_brands,317384
2021-03-02,wb_brands_in_categories,551939
2021-03-03,wb_items_2,7298179
2021-03-03,wb_items_tmp,7317277
2021-03-03,wb_categories,13815
2021-03-03,wb_brands,56962
2021-03-03,wb_categories_in_brands,319012
2021-03-03,wb_brands_in_categories,554089
2021-03-04,wb_items_2,7298179
2021-03-04,wb_items_tmp,7328821
2021-03-04,wb_categories,13815
2021-03-04,wb_brands,56962
2021-03-04,wb_categories_in_brands,319165
2021-03-04,wb_brands_in_categories,554529
2021-03-05,wb_items_2,7301054
2021-03-05,wb_items_tmp,7332011
2021-03-05,wb_categories,13815
2021-03-05,wb_brands,56962
2021-03-05,wb_categories_in_brands,319486
2021-03-05,wb_brands_in_categories,554732
2021-03-06,wb_items_2,7333174
2021-03-06,wb_items_tmp,7334348
2021-03-06,wb_categories,13815
2021-03-06,wb_brands,56962
2021-03-06,wb_categories_in_brands,319572
2021-03-06,wb_brands_in_categories,554876
2021-03-07,wb_items_2,7333174
2021-03-07,wb_items_tmp,7334941
2021-03-07,wb_categories,13815
2021-03-07,wb_brands,56962
